,administrative,administrative_duration,informational,informational_duration,product_related,product_related_duration,bounce_rates,exit_rates,page_values,month,operating_systems,browser,region,traffic_type,visitor_type,weekend,revenue
0,0.0,0 days 00:00:00,0,0 days 00:00:00,4.0,0 days 00:00:00,0.2,0.2,0.0,May,Android,Google Chrome,North America,Twitter,Returning_Visitor,False,False
1,0.0,0 days 00:00:00,0,0 days 00:00:00,26.0,0 days 00:00:00,0.0,0.026,0.0,Nov,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,True,False
2,2.0,0 days 00:01:39.400000,0,0 days 00:00:00,19.0,0 days 00:00:00,0.0396,0.052,0.0,Sep,Windows,Google Chrome,Asia,Twitter,Returning_Visitor,False,False
3,0.0,0 days 00:00:00,0,0 days 00:00:00,20.0,0 days 00:00:00,0.0248,0.028,1.8,Dec,Windows,Google Chrome,Western Europe,Instagram ads,Returning_Visitor,False,True
4,0.0,0 days 00:00:00,0,0 days 00:00:00,33.0,0 days 00:00:00,0.0141,0.032,0.0,May,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
5,1.0,0 days 00:01:03,0,0 days 00:00:00,29.0,0 days 00:00:00,0.0194,0.023,0.0,Mar,MACOS,Safari,North America,Google search,Returning_Visitor,False,False
6,3.0,0 days 00:01:27,0,0 days 00:00:00,11.0,0 days 00:00:00,0.0,0.022,0.0,Mar,Android,Google Chrome,Western Europe,Google search,New_Visitor,True,False
7,0.0,0 days 00:00:00,0,0 days 00:00:00,1.0,0 days 00:00:00,0.0033,0.018,0.0,Dec,MACOS,Safari,North America,Youtube channel,New_Visitor,False,False
8,0.0,0 days 00:00:00,0,0 days 00:00:00,3.0,0 days 00:00:00,0.04,0.12,0.0,June,Windows,Microsoft Edge,North America,Instagram ads,Returning_Visitor,False,False
9,4.0,0 days 00:00:15.800000,0,0 days 00:00:00,11.0,0 days 00:00:00,0.0,0.016,0.0,Aug,Windows,Microsoft Edge,South America,Instagram Page,New_Visitor,False,False
10,0.0,0 days 00:00:00,0,0 days 00:00:00,1.0,0 days 00:00:00,0.2,0.2,0.0,Dec,Windows,Mozilla Firefox,Northern Africa,Affiliate marketing,Returning_Visitor,False,False
11,0.0,0 days 00:00:00,0,0 days 00:00:00,57.0,0 days 00:00:00,0.0381,0.054,0.0,May,Windows,Google Chrome,Southern Africa,Instagram ads,Returning_Visitor,False,False
12,0.0,0 days 00:00:00,0,0 days 00:00:00,42.0,0 days 00:00:00,0.0,0.054,0.0,May,MACOS,Safari,South America,Google search,Returning_Visitor,False,False
13,4.0,0 days 00:02:29.250000,0,0 days 00:00:00,27.0,0 days 00:00:00,0.0,0.01,89.7,Mar,Android,Google Chrome,South America,Instagram ads,Returning_Visitor,False,True
14,2.0,0 days 00:02:09.750000,0,0 days 00:00:00,13.0,0 days 00:00:00,0.0125,0.038,0.0,Nov,Windows,Google Chrome,Asia,Facebook ads,Returning_Visitor,False,False
15,0.0,0 days 00:00:00,0,0 days 00:00:00,1.0,0 days 00:00:00,0.2,0.2,0.0,Nov,Windows,Google Chrome,Western Europe,Youtube ads,Returning_Visitor,False,False
16,3.0,0 days 00:05:50.200000,0,0 days 00:00:00,34.0,0 days 00:00:00,0.0,0.018,21.7,May,Android,Google Chrome,Western Europe,Google search,Returning_Visitor,True,True
17,0.0,0 days 00:00:00,0,0 days 00:00:00,7.0,0 days 00:00:00,0.0,0.033,0.0,Mar,MACOS,Safari,South America,Google search,Returning_Visitor,False,False
18,3.0,0 days 00:00:26,4,0 days 00:05:20,59.0,0 days 00:05:20,0.0029,0.019,0.0,Dec,Windows,Google Chrome,Southern Africa,Google search,Returning_Visitor,False,False
19,4.0,0 days 00:00:06,2,0 days 00:00:13.500000,41.0,0 days 00:00:13.500000,0.0,0.016,0.0,May,Windows,Mozilla Firefox,Africa,Google search,Returning_Visitor,False,False
20,0.0,0 days 00:00:00,0,0 days 00:00:00,14.0,0 days 00:00:00,0.0,0.038,0.0,May,MACOS,Samsung Internet,Western Europe,Google search,Returning_Visitor,False,False
21,0.0,0 days 00:00:06,0,0 days 00:00:00,14.0,0 days 00:00:00,0.0,0.002,0.0,Dec,MACOS,Safari,Western Europe,Facebook ads,Returning_Visitor,False,False
22,0.0,0 days 00:01:25.966666670,0,0 days 00:00:00,1.0,0 days 00:00:00,0.0,0.014,0.0,Dec,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,True,False
23,0.0,0 days 00:00:00,0,0 days 00:00:00,23.0,0 days 00:00:00,0.0048,0.014,0.0,Mar,Windows,Google Chrome,Eastern Europe,Instagram ads,Returning_Visitor,False,False
24,0.0,0 days 00:00:00,0,0 days 00:00:00,36.0,0 days 00:00:00,0.0194,0.015,0.0,May,Windows,Mozilla Firefox,Western Europe,Google search,Returning_Visitor,False,False
25,2.0,0 days 00:00:30,0,0 days 00:00:00,2.0,0 days 00:00:00,0.0,0.013,0.0,Dec,ChromeOS,Sogou Explorer,Northern Africa,Tik Tok ads,Other,False,False
26,3.0,0 days 00:00:11,0,0 days 00:00:00,25.0,0 days 00:00:00,0.0048,0.024,0.0,Dec,Windows,Opera,North America,Facebook ads,Returning_Visitor,False,False
27,2.0,0 days 00:00:01,0,0 days 00:00:00,11.0,0 days 00:00:00,0.0,0.011,0.0,May,Windows,Mozilla Firefox,North America,Bing search,Returning_Visitor,False,False
28,0.0,0 days 00:00:00,0,0 days 00:00:00,2.0,0 days 00:00:00,0.0,0.1,0.0,Dec,Android,Google Chrome,Western Europe,Google search,Returning_Visitor,True,False
29,1.0,0 days 00:00:10,5,0 days 00:26:34,30.0,0 days 00:26:34,0.0138,0.022,0.0,Nov,MACOS,Safari,Western Europe,Google search,Returning_Visitor,False,False
30,4.0,0 days 00:01:16.255000,0,0 days 00:00:00,11.0,0 days 00:00:00,0.0253,0.063,0.0,Sep,MACOS,Safari,North America,Instagram ads,Returning_Visitor,True,False
31,0.0,0 days 00:00:00,0,0 days 00:00:00,29.0,0 days 00:00:00,0.0071,0.035,0.0,May,Android,Google Chrome,Africa,Instagram ads,Returning_Visitor,False,False
32,2.0,0 days 00:00:06,0,0 days 00:00:00,8.0,0 days 00:00:00,0.0119,0.046,0.0,May,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
